model,split,metric,mean,ci_lo,ci_hi,n,vs_benchmark_mean_diff,vs_benchmark_ci_lo,vs_benchmark_ci_hi,vs_benchmark_n_paired,vs_benchmark_p_two_sided
ens_delta,val_chem_only,residual_pcc_vs_batch_aware_mu_ctx,-0.022341569902380395,-0.029389861830101196,-0.014927095012708544,1065,-0.02270815402161304,-0.029782942374417268,-0.015359489527845868,1065.0,0.001
ens_delta,val_chem_only,abundance_pcc,0.988409683822319,0.9880772883513764,0.9887245453132276,1065,-0.004868823032092092,-0.005061810985118565,-0.004692342782472715,1065.0,0.001
ens_delta,val_strain_only,fold_change_pcc,0.27681695560777986,0.2655222994438107,0.2883678902178829,1333,-0.0008515895915858917,-0.012080876361565579,0.010548252863535936,1333.0,0.872
ens_delta,val_strain_only,residual_pcc_vs_mu_ctx,0.3147705187181241,0.30649981980989516,0.32345166915603796,1333,0.01999220512342917,0.010121320826375534,0.029462468548786824,1333.0,0.001
ens_delta,val_strain_only,residual_pcc_vs_mu_drug,0.2470365346568766,0.23587406435254263,0.25712152121737214,1333,-0.053362883554434574,-0.06291519876996704,-0.04399319642994187,1333.0,0.001
ens_delta,val_strain_only,residual_pcc_vs_batch_aware_mu_ctx,0.3677438133055753,0.3607147311931142,0.37506757615246245,1333,0.058867231585494666,0.0496903941808224,0.06719013101233304,1333.0,0.001
ens_delta,val_strain_only,abundance_pcc,0.9885172769703096,0.988003356198357,0.9889794647264851,1333,0.007461448190436878,0.007192823400165308,0.007724161577736438,1333.0,0.001
ens_delta,val_both,fold_change_pcc,0.14661159515801941,0.13032793951550858,0.16263502151048187,269,-0.0988607350759946,-0.11538224497282809,-0.08050469532362382,269.0,0.001
ens_delta,val_both,residual_pcc_vs_mu_ctx,0.11894812248313884,0.10551731538379593,0.13192959468606125,269,-0.1618329787638235,-0.17830728048441438,-0.14629266073934633,269.0,0.001
ens_delta,val_both,residual_pcc_vs_mu_drug,0.09867710764503301,0.0817202831208706,0.11465507627584089,269,-0.1685294931369945,-0.18660280174585497,-0.15003070822962122,269.0,0.001
ens_delta,val_both,residual_pcc_vs_batch_aware_mu_ctx,0.05819334929846425,0.04281830400946192,0.07249781375997079,269,-0.2367008599506874,-0.25524540345710833,-0.21788922998171026,269.0,0.001
ens_delta,val_both,abundance_pcc,0.9865901694382373,0.9857163799714402,0.9873799069141118,269,0.003199310825441502,0.0026744629612363807,0.0037363205971105446,269.0,0.001
ens_delta,val_time,fold_change_pcc,0.5419025034218432,0.516620975808069,0.5667915174571361,139,0.06412085643791572,0.046032292717730454,0.08250472384130836,139.0,0.001
ens_delta,val_time,residual_pcc_vs_mu_ctx,0.4592588092020146,0.4282103805416241,0.4911898868911139,139,0.13580007519063608,0.10787011251743037,0.1663133807736655,139.0,0.001
ens_delta,val_time,residual_pcc_vs_mu_drug,0.5022739283279467,0.47949920027304493,0.5231253574051674,139,0.06088688930158457,0.03208391559776293,0.09257375726658558,139.0,0.001
ens_delta,val_time,residual_pcc_vs_batch_aware_mu_ctx,0.36509369044052037,0.3337983806030791,0.3983625040433283,139,0.36511323489835523,0.33309163878218584,0.39791220904687113,139.0,0.001
ens_delta,val_time,abundance_pcc,0.9907977409025956,0.9896891439480906,0.9917785036241906,139,0.0011241023198900366,-0.0001841591394658196,0.0027745011579845295,139.0,0.108
ens_abs,val_chem_only,fold_change_pcc,0.39549396521717384,0.3889206103224216,0.4023699288095969,1065,-0.09107899260978407,-0.09463212790144518,-0.08740409641818117,1065.0,0.001
ens_abs,val_chem_only,residual_pcc_vs_mu_ctx,0.3175223378472376,0.3086305644941673,0.32725928560236156,1065,-0.13523927582288867,-0.1407018876814345,-0.12978645240481887,1065.0,0.001
ens_abs,val_chem_only,residual_pcc_vs_mu_drug,0.35919618170430034,0.35197852368554916,0.3665694923380088,1065,-0.12851783548763684,-0.13312358272666644,-0.1237348232017199,1065.0,0.001
